freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-105,36,69,394,15,7,55
2412,-105,104,76,387,11,3,62
2412,-105,91,76,388,14,5,62
2412,-105,65,72,391,16,7,58
2412,-105,37,74,390,10,1,53
2412,-105,37,68,396,17,5,54
2412,-105,33,68,395,12,7,54
2412,-105,54,70,393,15,6,57
2412,-105,60,72,391,12,6,58
2412,-105,48,69,395,15,6,56
2412,-105,40,68,396,12,3,54
2412,-105,40,68,395,16,5,53
2412,-105,76,73,390,12,7,59
2412,-105,60,71,393,15,3,56
2412,-105,57,77,387,10,7,58
2412,-105,37,68,395,16,4,54
2412,-105,48,68,396,14,3,54
2412,-105,29,65,398,21,5,52
2412,-105,58,71,392,13,4,57
2412,-105,50,68,395,17,4,53
2412,-105,36,69,395,13,5,54
2412,-105,33,68,395,17,5,54
2412,-105,60,72,391,11,4,59
2412,-105,36,69,394,15,7,55
2412,-105,118,78,386,11,6,64
2412,-105,76,77,387,12,7,60
2412,-105,30,66,397,16,4,52
2412,-105,104,77,387,11,4,62
2412,-105,116,78,386,10,3,61
2412,-105,38,69,395,17,6,55
2412,-105,97,76,388,13,1,60
2412,-105,37,69,394,14,6,54
2412,-105,50,77,386,10,6,58
2412,-105,43,68,395,16,6,57
2412,-105,41,70,394,13,6,55
2412,-105,112,76,387,11,5,62
2412,-105,40,69,394,15,3,55
2412,-105,50,70,394,12,4,56
2412,-105,45,69,395,16,3,54
2412,-105,60,72,391,11,5,59
2412,-105,64,72,391,11,6,58
2412,-105,55,71,392,11,4,57
2412,-105,47,69,394,16,4,54
2412,-105,103,75,388,10,62,54
2412,-105,48,69,394,17,7,56
2412,-105,30,68,396,16,6,53
2412,-105,88,75,388,14,1,60
2412,-105,43,68,395,17,6,55
2412,-105,29,68,396,15,7,53
2412,-105,52,70,393,18,5,57
2412,-105,53,72,392,10,5,58
2412,-105,42,68,395,16,4,53
2412,-105,39,69,395,12,2,54
2412,-105,40,77,387,10,6,56
2412,-105,34,69,395,17,7,54
2412,-105,93,75,389,15,4,61
2412,-105,91,78,386,9,6,63
2412,-105,35,68,395,15,5,54
2412,-105,86,75,388,14,4,60
2412,-105,112,78,386,11,5,63
2412,-105,30,67,397,15,5,53
2412,-105,70,73,391,14,6,59
2412,-105,40,68,395,15,5,54
2412,-105,47,69,394,15,3,55
2412,-105,72,74,389,10,4,59
2412,-105,47,70,394,14,6,57
2412,-105,40,69,394,14,3,54
2412,-105,60,77,387,10,2,58
2412,-105,37,69,395,15,6,54
2412,-105,57,72,392,11,4,57
2412,-105,40,68,395,16,5,55
2412,-105,97,76,387,11,4,61
2412,-105,56,71,392,12,5,58
2412,-105,48,70,394,16,7,56
2412,-105,40,68,395,17,6,54
2412,-105,59,69,395,16,4,55
2412,-105,34,69,395,14,7,55
2412,-105,56,71,393,16,6,57
2412,-105,38,69,394,11,1,55
2412,-105,42,70,394,15,5,55
2412,-105,33,68,395,14,4,54
2412,-105,67,76,387,11,2,57
2412,-105,42,69,394,12,3,55
2412,-105,52,70,394,16,4,56
2412,-105,30,67,396,15,4,53
2412,-105,43,69,395,15,5,54
2412,-105,61,70,394,12,4,57
2412,-105,31,68,395,15,3,53
2412,-105,100,76,387,11,4,61
2412,-105,108,78,385,11,5,62
2412,-105,32,67,397,17,5,53
2412,-105,104,78,385,10,5,62
2412,-105,79,76,387,12,4,62
2412,-105,40,68,396,17,4,54
2412,-105,87,76,388,11,3,60
2412,-105,107,75,388,11,5,60
2412,-105,94,75,388,10,1,55
2412,-105,52,72,391,12,4,57
2412,-105,43,69,394,16,4,54
2412,-105,49,69,395,13,2,55
2412,-105,37,69,394,16,6,55
2412,-105,87,74,389,12,6,59
2412,-105,108,77,387,11,4,62
2412,-105,35,69,395,15,8,56
2412,-105,93,75,388,12,6,60
2412,-105,80,75,388,11,5,60
2412,-105,85,79,385,9,2,58
2412,-105,88,76,387,11,3,60
2412,-105,30,68,395,16,4,53
2412,-105,72,73,390,12,6,59
2412,-105,42,70,393,14,8,56
2412,-105,95,75,388,11,3,60
2412,-105,92,75,389,15,6,60
2412,-105,40,69,394,11,4,55
2412,-105,52,69,394,14,5,55
2412,-105,43,70,393,14,6,55
2412,-105,68,77,386,8,6,58
2412,-105,34,68,395,13,5,54
2412,-105,77,73,390,15,7,59
2412,-105,39,69,394,16,8,55
2412,-105,48,68,396,16,4,54
2412,-105,42,70,394,14,6,55
2412,-105,55,71,393,13,6,56
2412,-105,68,71,393,11,1,55
2412,-105,48,70,394,15,5,55
2412,-105,47,69,394,13,6,55
2412,-105,52,68,395,16,0,49
2412,-105,55,72,392,13,6,58
2412,-105,37,69,395,15,5,53
2412,-105,60,74,389,10,2,59
2412,-105,69,69,394,10,7,56
2412,-105,48,69,395,14,6,54
2412,-105,51,69,394,11,5,55
2412,-105,66,69,395,17,7,54
2412,-105,63,69,394,12,6,55
2412,-105,55,69,395,15,6,53
2412,-105,55,69,394,11,7,55
2412,-105,72,69,394,14,6,55
2412,-105,64,69,394,11,5,55
2412,-105,59,69,394,10,8,51
2412,-105,45,69,394,11,5,55
2412,-105,74,69,394,15,6,54
2412,-105,50,69,394,9,6,55
2412,-105,56,69,394,14,5,54
2412,-105,70,69,394,11,6,55
2412,-105,67,69,394,15,7,54
2412,-105,61,69,395,16,5,55
2412,-105,66,69,394,15,7,54
2412,-105,65,69,394,12,7,55
2412,-105,70,69,394,10,2,51
2412,-105,57,69,394,15,5,54
2412,-105,53,69,394,16,7,54
2412,-105,76,69,394,11,4,56
2412,-105,54,69,394,13,6,54
2412,-105,64,69,394,14,7,56
2412,-105,53,69,395,14,4,54
2412,-105,50,69,394,13,6,55
2412,-105,56,69,394,11,6,56
2412,-105,56,69,394,16,4,54
2412,-105,50,69,394,11,7,55
2412,-105,72,69,394,15,7,55
2412,-105,57,69,394,10,3,55
2412,-105,55,69,394,10,7,51
2412,-105,65,69,394,10,6,55
2412,-105,67,69,394,15,5,54
2412,-105,71,69,394,11,8,56
2412,-105,72,69,394,15,8,55
2412,-105,82,69,394,12,7,58
2412,-105,71,69,395,15,8,55
2412,-105,66,69,394,11,6,56
2412,-105,66,69,394,16,7,55
2412,-105,88,69,394,9,8,55
2412,-105,81,69,394,10,4,51
2412,-105,75,69,394,10,6,56
2412,-105,55,69,394,15,7,54
2412,-105,57,69,394,14,7,55
2412,-105,66,69,394,14,6,55
2412,-105,62,69,394,12,7,55
2412,-105,52,68,395,14,6,54
2412,-105,59,69,394,13,6,55
2412,-105,62,69,394,15,7,55
2412,-105,64,69,394,11,6,56
2412,-105,56,69,395,15,6,49
2412,-105,72,69,394,13,6,55
2412,-105,65,68,395,14,5,54
2412,-105,62,69,394,9,5,50
2412,-105,71,69,394,15,8,56
2412,-105,75,69,394,13,4,55
2412,-105,79,69,394,17,7,55
2412,-105,74,69,394,15,4,55
2412,-105,66,69,394,15,3,54
2412,-105,75,69,394,14,8,56
2412,-105,74,69,394,12,5,55
2412,-105,58,69,394,15,3,55
2412,-105,56,68,395,11,5,54
2412,-105,62,69,394,7,6,50
2412,-105,72,69,394,12,3,55
2412,-105,63,69,394,16,5,55
2412,-105,43,69,394,12,3,54
2412,-105,44,68,395,16,5,53
2412,-105,48,69,394,11,6,56
2417,-96,63,69,385,6,9,52
2417,-96,61,69,385,4,10,50
2417,-96,53,69,385,4,9,52
2417,-96,60,69,385,6,10,54
2417,-96,61,69,385,4,9,53
2417,-96,62,69,385,5,8,53
2417,-96,65,69,385,4,7,52
2417,-96,61,69,385,3,7,52
2417,-96,58,69,385,5,8,53
2417,-96,62,69,385,5,9,53
2417,-96,66,69,385,4,8,52
2417,-96,53,69,385,5,9,52
2417,-96,62,69,385,6,7,52
2417,-96,61,69,385,4,7,52
2417,-96,67,69,385,3,11,51
2417,-96,59,69,385,6,6,52
2417,-96,57,69,385,5,7,51
2417,-96,60,69,385,7,7,52
2417,-96,57,69,385,6,7,52
2417,-96,57,69,385,6,8,52
2417,-96,65,69,385,7,7,52
2417,-96,62,69,385,6,5,52
2417,-96,62,69,385,6,8,52
2417,-96,68,69,385,5,8,53
2417,-96,66,69,385,7,9,52
2417,-96,67,69,385,3,6,53
2417,-96,63,69,385,5,8,52
2417,-96,67,69,385,5,9,53
2417,-96,58,69,385,7,7,51
2417,-96,57,69,385,5,7,51
2417,-96,57,69,385,5,8,52
2417,-96,74,69,385,6,6,52
2417,-96,63,69,385,6,8,52
2417,-96,60,69,385,5,7,53
2417,-96,64,69,385,5,8,52
2417,-96,55,69,385,4,13,50
2417,-96,69,69,385,6,8,52
2417,-96,61,69,385,8,8,52
2417,-96,57,69,385,7,8,51
2417,-96,57,69,385,6,8,52
2417,-96,60,69,385,6,7,52
