freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-100,23,63,396,18,7,53
2412,-100,37,63,396,20,9,57
2412,-100,70,69,390,10,3,57
2412,-100,40,65,393,15,10,58
2412,-100,34,66,392,13,6,53
2412,-100,61,69,390,12,6,59
2412,-100,41,65,393,12,4,53
2412,-100,55,75,384,8,7,62
2412,-100,30,65,393,17,5,54
2412,-100,75,71,388,11,7,61
2412,-100,104,73,386,12,7,61
2412,-100,41,66,393,15,6,56
2412,-100,81,71,387,10,6,60
2412,-100,101,76,383,6,5,62
2412,-100,35,66,393,14,5,54
2412,-100,114,75,384,8,5,62
2412,-100,50,67,391,13,6,56
2412,-100,39,63,395,18,10,59
2412,-100,62,67,391,13,7,57
2412,-100,37,66,392,11,5,55
2412,-100,44,66,392,13,3,53
2412,-100,34,64,395,15,8,55
2412,-100,37,65,393,15,8,56
2412,-100,37,65,393,12,3,54
2412,-100,35,66,393,11,5,54
2412,-100,49,64,395,15,6,56
2412,-100,52,73,385,7,8,59
2412,-100,74,70,388,8,5,59
2412,-100,41,66,392,12,6,55
2412,-100,47,67,391,12,2,56
2412,-100,62,69,390,10,5,57
2412,-100,101,73,386,10,6,61
2412,-100,43,64,394,16,4,52
2412,-100,44,68,390,12,12,60
2412,-100,52,67,392,12,8,57
2412,-100,86,70,389,8,3,57
2412,-100,77,74,384,5,6,60
2412,-100,41,67,391,10,4,55
2412,-100,44,65,393,13,4,55
2412,-100,33,65,393,13,5,54
2412,-100,49,65,393,16,10,59
2412,-100,53,68,390,10,5,57
2412,-100,43,65,394,14,5,55
2412,-100,71,70,388,8,6,60
2412,-100,33,66,392,14,6,55
2412,-100,94,76,382,7,4,62
2412,-100,86,73,386,8,7,63
2412,-100,33,67,392,13,5,56
2412,-100,101,73,386,11,7,61
2412,-100,41,65,394,15,6,55
2412,-100,42,71,388,12,9,61
2412,-100,52,67,392,13,7,58
2412,-100,35,65,394,10,1,52
2412,-100,48,67,392,14,4,56
2412,-100,29,64,394,13,5,52
2412,-100,56,68,391,15,5,58
2412,-100,39,66,392,13,8,56
2412,-100,38,65,394,17,10,57
2412,-100,60,67,392,10,4,56
2412,-100,43,66,393,16,7,57
2412,-100,48,76,383,8,6,59
2412,-100,74,70,389,11,6,61
2412,-100,40,64,394,15,2,52
2412,-100,52,67,392,14,8,59
2412,-100,53,68,391,12,8,60
2412,-100,24,62,396,20,7,51
2412,-100,39,67,391,14,11,58
2412,-100,41,66,393,13,4,55
2412,-100,52,67,392,15,8,60
2412,-100,64,74,385,8,6,61
2412,-100,48,67,391,12,4,56
2412,-100,44,69,390,12,7,59
2412,-100,40,67,392,11,7,56
2412,-100,57,68,390,14,5,57
2412,-100,40,67,391,8,4,55
2412,-100,43,66,392,13,4,54
2412,-100,34,66,392,16,5,55
2412,-100,40,66,392,13,4,53
2412,-100,43,64,395,17,10,58
2412,-100,34,64,395,13,2,51
2412,-100,45,74,384,5,2,54
2412,-100,45,67,392,14,5,56
2412,-100,42,65,393,14,6,56
2412,-100,86,70,388,14,7,59
2412,-100,39,66,392,9,4,54
2412,-100,40,65,394,15,3,52
2412,-100,34,65,393,13,4,52
2412,-100,33,66,392,12,6,54
2412,-100,57,68,391,10,5,58
2412,-100,35,66,392,12,5,54
2412,-100,53,68,391,13,6,58
2412,-100,29,64,394,16,6,53
2412,-100,87,71,387,11,5,59
2412,-100,26,66,392,13,6,52
2412,-100,121,78,380,7,4,64
2412,-100,40,66,392,12,6,57
2412,-100,44,67,391,14,5,57
2412,-100,36,65,394,15,7,55
2412,-100,66,69,389,11,4,57
2412,-100,51,68,391,7,4,55
2412,-100,38,66,393,14,2,53
2412,-100,39,65,393,15,6,54
2412,-100,42,73,385,10,8,60
2412,-100,54,68,390,13,4,58
2412,-100,49,67,391,12,9,60
2412,-100,50,67,392,15,10,60
2412,-100,38,69,389,9,3,52
2412,-100,100,75,384,7,5,63
2412,-100,88,74,385,11,7,62
2412,-100,28,64,394,15,5,53
2412,-100,75,69,390,10,6,58
2412,-100,36,67,392,13,8,56
2412,-100,74,71,387,10,6,63
2412,-100,29,63,395,17,9,55
2412,-100,48,67,391,15,9,57
2412,-100,61,73,386,6,5,62
2412,-100,115,74,385,10,7,63
2412,-100,47,65,393,14,9,57
2412,-100,62,69,390,12,5,60
2412,-100,58,69,389,14,7,59
2412,-100,38,67,392,11,5,55
2412,-100,57,67,391,14,7,59
2412,-100,62,68,391,11,6,59
2412,-100,41,64,395,17,7,56
2412,-100,47,67,392,10,4,55
2412,-100,21,66,392,15,10,54
2412,-100,40,67,391,15,7,58
2412,-100,43,66,393,14,4,55
2412,-100,36,64,395,20,6,56
2412,-100,55,69,389,15,7,59
2412,-100,57,68,390,12,5,58
2412,-100,37,64,395,16,8,56
2412,-100,43,67,392,11,5,56
2412,-100,53,67,392,11,4,56
2412,-100,61,67,391,12,8,58
2412,-100,56,70,389,9,7,59
2412,-100,45,67,392,11,6,58
2412,-100,54,66,393,16,7,58
2412,-100,26,65,394,13,10,56
2412,-100,40,66,392,14,6,57
2412,-100,68,70,389,7,5,59
2412,-100,42,67,392,13,6,55
2412,-100,109,71,387,11,5,63
2412,-100,37,66,393,13,6,54
2412,-100,80,71,388,10,6,60
2412,-100,30,65,393,16,6,56
2412,-100,32,66,392,14,8,55
2412,-100,67,70,388,11,4,58
2412,-100,58,72,386,11,6,59
2412,-100,89,71,388,12,7,59
2412,-100,40,66,393,13,6,53
2412,-100,80,72,386,10,7,61
2412,-100,44,67,391,13,7,56
2412,-100,37,66,393,15,8,58
2412,-100,42,67,392,13,5,55
2412,-100,63,70,388,8,6,58
2412,-100,27,63,395,15,5,54
2412,-100,42,65,393,16,6,55
2412,-100,38,71,388,12,9,60
2412,-100,58,68,390,12,6,60
2412,-100,55,66,392,15,6,58
2412,-100,54,68,391,13,6,57
2412,-100,57,65,394,15,8,57
2412,-100,85,74,385,9,5,61
2412,-100,55,68,391,13,7,58
2412,-100,38,62,396,15,6,52
2412,-100,102,75,383,8,4,61
2412,-100,51,68,390,12,4,57
2412,-100,37,65,394,15,6,57
2412,-100,55,67,392,13,7,57
2412,-100,37,66,392,10,5,55
2412,-100,78,73,386,7,0,54
2412,-100,50,68,391,14,7,56
2412,-100,46,66,393,17,6,55
2412,-100,37,66,393,15,6,56
2412,-100,46,66,392,13,6,57
2412,-100,30,65,394,13,6,52
2412,-100,44,66,392,14,7,57
2412,-100,46,67,391,10,5,56
2412,-100,43,66,393,14,3,53
2412,-100,28,64,394,13,4,52
2412,-100,47,72,387,10,6,57
2412,-100,37,67,392,13,6,55
2412,-100,74,70,388,11,4,58
2412,-100,37,66,393,12,7,56
2412,-100,42,66,393,15,7,57
2412,-100,33,65,393,13,7,57
2412,-100,76,70,388,12,6,60
2412,-100,45,68,391,12,5,56
2412,-100,41,66,393,8,3,53
2412,-100,53,67,392,13,4,56
2412,-100,64,74,385,7,8,57
2412,-100,104,74,385,7,3,61
2412,-100,54,67,392,15,6,57
2412,-100,33,66,392,11,5,53
2412,-100,35,66,393,14,3,54
2412,-100,34,66,393,11,8,57
2412,-100,45,67,391,13,4,55
2412,-100,51,67,392,12,6,59
2412,-100,41,66,392,13,6,55
2417,-95,68,63,390,7,9,49
2417,-95,69,69,385,7,8,53
2417,-95,74,69,385,4,8,57
2417,-95,58,66,387,12,11,64
2417,-95,45,68,386,11,9,57
2417,-95,70,69,384,10,10,57
2417,-95,70,69,384,9,12,62
2417,-95,65,57,396,11,9,47
2417,-95,72,63,390,6,9,51
2417,-95,63,63,390,6,12,51
2417,-95,75,63,390,9,9,50
2417,-95,65,63,390,6,9,49
2417,-95,69,63,391,9,9,51
2417,-95,70,63,391,6,8,50
2417,-95,71,63,391,10,10,53
2417,-95,65,63,391,7,10,52
2417,-95,62,63,391,9,8,50
2417,-95,80,63,391,4,9,50
2417,-95,67,63,391,5,9,48
2417,-95,71,63,391,7,12,49
2417,-95,74,63,391,6,9,49
2417,-95,63,63,391,5,9,51
2417,-95,72,63,391,17,14,57
2417,-95,68,63,391,7,10,54
2417,-95,64,63,391,10,9,53
2417,-95,68,63,391,8,9,52
2417,-95,76,63,391,7,7,49
2417,-95,70,63,391,6,8,51
2417,-95,72,63,391,11,9,52
2417,-95,68,63,391,8,10,53
2417,-95,68,63,391,12,11,54
2417,-95,69,63,391,10,7,51
2417,-95,69,63,391,4,11,47
2417,-95,66,63,391,7,7,48
2417,-95,69,63,391,6,7,49
2417,-95,70,69,385,6,8,55
2417,-95,61,67,386,11,10,57
2417,-95,72,69,385,5,8,55
2417,-95,81,69,385,7,8,57
2417,-95,61,69,385,5,8,54
2417,-95,73,69,385,6,8,54
2417,-95,75,69,385,5,9,56
2417,-95,62,69,385,8,12,57
2417,-95,55,69,385,7,9,57
2417,-95,63,69,385,10,12,59
2417,-95,59,69,385,5,9,56
2417,-95,81,68,385,10,11,59
2417,-95,54,69,385,6,9,57
2417,-95,77,69,385,9,7,53
2417,-95,70,69,385,7,10,58
2417,-95,65,69,385,6,10,57
2417,-95,60,69,385,5,8,55
2417,-95,67,69,385,8,8,54
2417,-95,57,69,385,6,8,54
