freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-102,91,73,388,12,7,65
2412,-102,64,66,394,16,9,60
2412,-102,78,71,389,12,4,60
2412,-102,72,72,388,12,6,61
2412,-102,84,72,389,11,3,57
2412,-102,115,75,385,9,4,63
2412,-102,61,67,393,16,6,57
2412,-102,46,65,396,16,6,57
2412,-102,35,64,397,18,5,53
2412,-102,39,65,396,17,7,55
2412,-102,69,68,392,14,4,58
2412,-102,36,66,394,16,5,55
2412,-102,83,72,388,11,5,61
2412,-102,90,72,389,11,2,60
2412,-102,39,72,389,11,5,55
2412,-102,32,64,396,17,5,53
2412,-102,67,69,391,12,6,58
2412,-102,38,65,396,19,8,57
2412,-102,49,66,394,17,3,55
2412,-102,38,65,396,16,5,55
2412,-102,65,69,391,14,6,59
2412,-102,16,64,396,17,6,48
2412,-102,97,70,391,14,8,63
2412,-102,53,65,396,15,4,55
2412,-102,53,73,388,11,7,59
2412,-102,50,66,395,17,7,57
2412,-102,95,73,388,12,4,61
2412,-102,87,73,387,15,5,61
2412,-102,37,65,395,13,4,54
2412,-102,53,66,394,17,5,57
2412,-102,34,65,396,15,7,55
2412,-102,31,63,397,17,4,53
2412,-102,36,65,395,13,4,54
2412,-102,35,63,398,22,5,53
2412,-102,36,70,391,11,2,54
2412,-102,32,65,395,17,5,54
2412,-102,56,67,394,13,8,59
2412,-102,41,64,396,16,2,54
2412,-102,103,73,388,12,4,61
2412,-102,64,69,391,13,6,57
2412,-102,62,67,394,16,2,56
2412,-102,86,72,388,12,7,64
2412,-102,39,64,397,20,7,56
2412,-102,76,69,391,13,5,60
2412,-102,38,65,395,16,6,54
2412,-102,59,68,392,12,4,57
2412,-102,35,65,396,18,6,55
2412,-102,87,71,389,13,5,60
2412,-102,104,73,387,11,7,64
2412,-102,49,67,394,15,2,53
2412,-102,69,70,390,16,6,59
2412,-102,35,65,395,17,7,54
2412,-102,109,73,387,10,4,61
2412,-102,106,74,387,11,5,62
2412,-102,36,65,396,17,7,55
2412,-102,50,66,394,13,2,55
2412,-102,36,65,395,14,7,55
2412,-102,81,69,392,16,9,63
2412,-102,34,65,396,18,6,55
2412,-102,30,66,394,19,7,58
2412,-102,33,66,395,15,7,55
2412,-102,73,69,392,13,6,61
2412,-102,28,63,397,19,6,53
2412,-102,53,66,394,18,7,58
2412,-102,32,64,396,18,7,54
2412,-102,66,65,396,19,6,59
2412,-102,33,63,398,18,9,57
2412,-102,47,64,396,18,7,57
2412,-102,37,65,396,19,5,57
2412,-102,50,73,387,11,10,62
2412,-102,37,65,395,17,5,55
2412,-102,40,65,396,14,5,56
2412,-102,63,65,395,16,4,54
2412,-102,64,69,392,16,7,61
2412,-102,34,63,397,22,6,55
2412,-102,66,65,395,12,3,55
2412,-102,31,70,391,12,8,56
2412,-102,37,65,395,16,6,54
2412,-102,46,65,395,18,5,57
2412,-102,33,64,397,18,7,56
2412,-102,67,68,392,15,5,58
2412,-102,46,65,395,16,8,59
2412,-102,46,65,396,15,5,56
2412,-102,65,66,394,16,7,59
2412,-102,39,65,396,17,7,54
2412,-102,84,72,388,14,6,64
2412,-102,43,66,394,16,7,56
2412,-102,61,73,387,10,5,56
2412,-102,107,73,388,12,4,62
2412,-102,40,63,397,21,9,57
2412,-102,32,65,395,16,7,57
2412,-102,33,65,395,16,4,54
2412,-102,39,64,396,19,11,59
2412,-102,53,65,396,16,6,56
2412,-102,57,67,393,14,4,56
2412,-102,42,65,396,18,6,55
2412,-102,47,64,396,16,7,57
2412,-102,68,70,391,15,9,61
2412,-102,58,68,393,15,7,60
2412,-102,55,67,393,15,5,58
2412,-102,66,72,388,12,5,62
2412,-102,87,68,393,16,9,61
2412,-102,54,66,394,16,3,57
2412,-102,25,62,399,21,9,53
2412,-102,89,73,387,13,5,61
2412,-102,54,64,396,17,6,57
2412,-102,63,70,390,13,6,60
2412,-102,35,66,394,16,8,56
2412,-102,91,68,393,13,4,60
2412,-102,30,64,396,18,7,53
2412,-102,45,73,387,12,4,55
2412,-102,89,71,389,14,3,60
2412,-102,51,66,394,17,5,57
2412,-102,92,70,391,16,6,64
2412,-102,35,64,396,17,8,54
2412,-102,126,72,389,14,4,62
2412,-102,30,63,398,21,4,52
2412,-102,40,70,390,15,8,58
2412,-102,40,64,397,18,3,53
2412,-102,64,67,394,13,4,58
2412,-102,35,62,399,19,5,51
2412,-102,55,66,395,17,7,59
2412,-102,20,59,401,25,10,52
2412,-102,78,70,391,12,8,63
2412,-102,37,64,396,17,7,57
2412,-102,44,65,396,18,7,56
2412,-102,35,69,392,13,9,60
2412,-102,34,64,397,17,6,53
2412,-102,34,66,395,15,6,53
2412,-102,75,70,390,14,4,61
2412,-102,40,64,397,14,4,56
2412,-102,39,63,398,21,5,56
2412,-102,40,62,399,20,7,55
2412,-102,38,64,397,18,7,56
2412,-102,77,68,393,14,4,59
2412,-102,84,69,391,15,6,60
2412,-102,78,70,390,13,6,60
2412,-102,32,63,398,20,8,59
2412,-102,94,70,390,13,7,61
2412,-102,38,64,397,20,7,57
2412,-102,85,72,389,13,3,61
2412,-102,96,73,388,12,6,64
