freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-101,84,66,393,17,7,59
2412,-101,43,66,393,15,5,54
2412,-101,113,74,385,9,4,62
2412,-101,82,71,389,9,3,60
2412,-101,100,74,385,13,5,62
2412,-101,35,65,394,15,5,53
2412,-101,41,66,393,14,3,55
2412,-101,27,64,395,14,6,52
2412,-101,69,69,391,13,4,58
2412,-101,34,65,395,17,4,54
2412,-101,93,74,385,10,5,62
2412,-101,31,65,395,16,6,53
2412,-101,88,71,388,11,4,59
2412,-101,33,65,394,16,5,53
2412,-101,43,72,387,10,7,55
2412,-101,30,63,396,15,2,51
2412,-101,38,66,394,12,4,54
2412,-101,30,64,395,18,6,52
2412,-101,91,70,390,13,2,58
2412,-101,47,65,394,14,5,54
2412,-101,78,78,381,6,6,62
2412,-101,43,66,394,13,6,54
2412,-101,72,72,388,11,6,60
2412,-101,45,66,394,14,3,55
2412,-101,100,74,386,10,7,62
2412,-101,65,66,393,16,6,57
2412,-101,51,66,393,15,7,58
2412,-101,112,74,386,12,5,62
2412,-101,39,66,394,14,6,55
2412,-101,93,74,385,10,3,61
2412,-101,57,74,385,7,5,56
2412,-101,30,64,395,18,7,55
2412,-101,76,69,390,12,5,59
2412,-101,37,66,394,16,5,56
2412,-101,77,70,389,11,2,59
2412,-101,43,75,385,9,4,57
2412,-101,37,66,393,15,7,55
2412,-101,71,67,392,16,10,62
2412,-101,34,65,395,15,7,56
2412,-101,96,73,386,10,5,62
2412,-101,42,65,394,14,4,54
2412,-101,27,64,395,12,5,53
2412,-101,43,65,395,16,3,54
2412,-101,33,65,394,15,5,55
2412,-101,104,76,384,8,4,62
2412,-101,87,71,388,12,3,59
2412,-101,29,61,398,20,6,53
2412,-101,49,66,393,11,8,59
2412,-101,45,64,395,14,3,53
2412,-101,75,71,388,10,10,61
2412,-101,98,73,387,10,3,60
2412,-101,30,64,396,16,4,53
2412,-101,94,75,385,10,4,62
2412,-101,37,65,394,14,5,54
2412,-101,41,65,394,11,4,54
2412,-101,43,65,395,16,5,57
2412,-101,41,65,394,13,7,56
2412,-101,39,64,395,17,5,55
2412,-101,37,65,395,16,5,54
2412,-101,32,64,395,15,6,52
2412,-101,77,71,388,8,3,59
2412,-101,116,75,384,10,3,62
2412,-101,53,75,385,9,7,59
2412,-101,35,65,394,12,4,53
2412,-101,56,67,392,15,6,57
2412,-101,31,65,394,15,4,54
2412,-101,36,66,394,15,2,54
2412,-101,28,64,395,11,4,53
2412,-101,57,65,394,18,6,57
2412,-101,58,69,390,8,3,58
2412,-101,85,76,383,6,5,62
2412,-101,53,68,392,10,4,57
2412,-101,82,71,389,9,3,59
2412,-101,48,65,394,15,6,56
2412,-101,35,64,396,13,1,53
2412,-101,30,65,395,15,6,54
2412,-101,83,71,389,9,4,59
2412,-101,36,66,393,15,5,54
2412,-101,33,66,394,15,3,51
2412,-101,39,66,394,10,5,55
2412,-101,57,66,394,15,5,55
2412,-101,99,73,387,8,7,63
2412,-101,35,66,394,15,6,54
2412,-101,42,65,394,9,5,55
2412,-101,40,66,393,15,3,55
2412,-101,56,68,391,12,3,56
2412,-101,64,69,391,10,4,57
2412,-101,95,74,386,9,3,61
2412,-101,45,66,393,15,8,55
2412,-101,60,67,392,15,4,56
2412,-101,38,66,393,14,6,55
2412,-101,66,73,386,8,6,59
2412,-101,58,66,393,16,5,56
2412,-101,51,64,396,17,9,58
2412,-101,118,74,385,10,5,62
2412,-101,38,63,397,15,3,53
2412,-101,40,64,396,17,8,57
2412,-101,38,62,397,22,6,52
2412,-101,46,63,396,17,3,53
2412,-101,35,64,395,12,4,53
2412,-101,66,68,392,14,5,57
2412,-101,53,65,395,15,6,54
2412,-101,61,66,394,16,7,57
2412,-101,43,65,395,15,5,53
2412,-101,79,74,386,11,2,61
2412,-101,36,62,397,21,3,46
2412,-101,79,72,388,10,4,60
2412,-101,95,74,385,11,3,61
2412,-101,54,72,387,10,6,59
2412,-101,34,64,395,13,3,52
2412,-101,98,72,387,10,5,60
2412,-101,42,63,396,19,6,56
2412,-101,72,69,390,10,3,58
2412,-101,46,65,394,16,3,54
2412,-101,36,63,397,17,7,55
2412,-101,47,65,394,16,2,53
2412,-101,75,71,389,8,4,59
2412,-101,105,74,386,10,6,63
2412,-101,121,76,383,7,2,61
2412,-101,48,67,393,7,4,56
2412,-101,91,73,387,10,5,61
2412,-101,53,67,392,15,6,57
2412,-101,38,65,394,16,6,53
2412,-101,85,71,388,12,6,61
2412,-101,99,74,385,10,4,62
2412,-101,35,63,396,17,9,55
2412,-101,90,71,388,10,6,61
2412,-101,46,66,393,14,6,54
2412,-101,67,75,385,9,6,63
2412,-101,38,64,395,16,8,56
2412,-101,62,68,391,16,7,62
2412,-101,40,72,388,10,6,57
2412,-101,62,68,392,12,5,58
2412,-101,32,65,394,15,7,54
2412,-101,124,75,384,9,5,63
2412,-101,41,65,395,15,6,55
2412,-101,90,73,387,10,4,61
2412,-101,91,72,388,13,7,62
2412,-101,38,65,395,16,4,53
2412,-101,89,72,388,11,4,60
2412,-101,46,66,393,14,4,55
2412,-101,61,69,390,13,5,57
2412,-101,93,74,385,10,4,61
2412,-101,62,67,393,15,6,57
2412,-101,59,66,394,14,5,55
2412,-101,31,62,398,21,6,54
2412,-101,35,63,396,16,8,56
2412,-101,97,68,391,16,2,57
2412,-101,86,70,390,14,7,63
2412,-101,37,65,394,13,4,55
2412,-101,89,75,385,13,4,63
2412,-101,79,70,390,13,5,59
2412,-101,35,64,395,15,4,54
2412,-101,104,75,384,7,5,64
2412,-101,82,71,389,13,3,59
2412,-101,48,70,389,11,3,56
2412,-101,44,67,393,14,7,56
2412,-101,74,70,390,12,5,59
2412,-101,114,71,388,10,3,61
2412,-101,52,66,394,8,4,56
2412,-101,42,64,395,17,4,53
2412,-101,56,66,394,14,3,55
2412,-101,38,65,394,16,6,54
2412,-101,47,66,393,8,4,55
2412,-101,42,65,395,15,4,55
2412,-101,73,74,385,7,5,61
2412,-101,115,74,386,9,4,62
2412,-101,37,64,395,18,5,55
2412,-101,73,74,386,9,8,60
2412,-101,37,67,393,16,5,57
2412,-101,81,71,388,13,5,60
2412,-101,33,65,395,15,3,54
2412,-101,86,71,389,11,4,59
2412,-101,95,75,385,11,2,61
2412,-101,55,67,393,14,4,56
2412,-101,62,69,391,8,5,58
2412,-101,37,65,394,15,5,54
2412,-101,50,65,394,13,7,56
2412,-101,44,70,389,8,3,54
2412,-101,47,72,387,9,2,57
2412,-101,102,75,384,9,2,62
2412,-101,57,67,393,13,4,56
2412,-101,31,65,395,12,4,54
2412,-101,38,65,395,16,5,54
2412,-101,42,66,394,10,5,55
2412,-101,36,63,397,19,8,55
2412,-101,98,72,387,9,4,60
2412,-101,37,65,394,14,3,55
2412,-101,76,68,392,15,5,58
2412,-101,57,67,392,13,8,57
2412,-101,36,64,396,14,2,53
2412,-101,31,65,394,14,6,54
2412,-101,64,69,390,12,5,59
2412,-101,32,63,396,21,5,54
2412,-101,48,66,393,16,3,56
