freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-100,84,76,382,9,7,62
2412,-100,84,76,383,9,6,60
2412,-100,79,76,383,6,5,57
2412,-100,75,76,382,8,6,61
2412,-100,105,76,382,7,5,61
2412,-100,75,73,386,8,6,59
2412,-100,36,68,390,12,6,52
2412,-100,83,74,384,11,7,59
2412,-100,56,71,387,8,3,56
2412,-100,65,73,386,9,7,58
2412,-100,37,71,387,11,4,54
2412,-100,72,76,382,7,4,57
2412,-100,52,70,389,12,6,54
2412,-100,62,74,384,8,7,59
2412,-100,75,76,382,7,5,61
2412,-100,126,78,380,6,4,63
2412,-100,41,71,387,11,6,57
2412,-100,83,73,385,7,3,57
2412,-100,48,71,387,11,8,56
2412,-100,71,74,385,7,5,59
2412,-100,59,70,389,11,6,56
2412,-100,67,72,387,7,6,58
2412,-100,37,70,389,10,3,54
2412,-100,40,70,388,8,5,55
2412,-100,44,70,388,11,5,55
2412,-100,77,75,383,7,6,60
2412,-100,53,71,387,9,6,56
2412,-100,45,69,389,9,5,54
2412,-100,56,72,387,10,7,55
2412,-100,46,72,386,7,3,56
2412,-100,42,72,386,9,5,57
2412,-100,53,77,382,7,7,58
2412,-100,42,68,390,13,7,58
2412,-100,30,66,392,16,9,55
2412,-100,56,72,386,9,6,57
2412,-100,55,72,386,10,5,57
2412,-100,47,70,389,10,4,55
2412,-100,42,70,389,8,4,55
2412,-100,45,69,389,10,6,54
2412,-100,80,75,384,8,5,60
2412,-100,43,73,385,7,8,58
2412,-100,56,74,384,8,5,57
2412,-100,33,69,389,11,9,54
2412,-100,103,78,381,6,6,63
2412,-100,82,74,385,7,4,59
2412,-100,35,70,388,10,5,54
2412,-100,98,77,381,7,3,61
2412,-100,73,74,385,10,6,59
2412,-100,55,70,388,11,5,55
2412,-100,78,71,387,10,10,59
2412,-100,46,71,387,9,7,56
2412,-100,79,75,384,11,4,61
2412,-100,50,76,382,6,5,55
2412,-100,104,75,383,8,5,60
2412,-100,69,74,384,7,4,58
2412,-100,82,77,382,6,7,62
