freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-100,32,71,388,11,5,56
2412,-100,72,75,384,8,6,59
2412,-100,69,75,383,7,7,59
2412,-100,58,74,385,10,5,59
2412,-100,48,69,389,11,8,54
2412,-100,94,77,381,7,7,62
2412,-100,43,69,390,11,4,54
2412,-100,47,71,387,7,7,57
2412,-100,54,71,388,8,5,57
2412,-100,51,76,383,7,5,58
2412,-100,103,76,383,6,6,61
2412,-100,99,77,382,8,6,62
2412,-100,81,74,384,6,4,58
2412,-100,57,72,386,10,6,57
2412,-100,40,70,389,11,5,54
2412,-100,32,70,388,9,3,54
2412,-100,48,70,389,11,3,53
2412,-100,39,71,387,7,5,56
2412,-100,46,71,388,10,3,54
2412,-100,76,74,384,5,4,54
2412,-100,55,71,387,9,7,56
2412,-100,43,70,388,9,6,55
2412,-100,89,74,384,6,5,59
2412,-100,42,71,387,10,7,56
2412,-100,56,70,388,11,7,56
2412,-100,78,74,384,8,7,59
2412,-100,36,70,388,10,5,54
2412,-100,59,72,387,11,7,56
2412,-100,60,71,387,10,6,56
2412,-100,57,73,386,10,7,60
2412,-100,56,74,384,5,5,55
2412,-100,33,69,390,11,6,53
2412,-100,54,74,384,9,7,59
2412,-100,55,74,384,8,6,59
2412,-100,77,74,384,8,5,59
2412,-100,84,74,384,6,8,56
2412,-100,55,70,388,9,7,57
2412,-100,60,71,387,9,4,56
2412,-100,48,70,388,8,4,55
2412,-100,33,70,389,10,4,53
2412,-100,51,70,388,8,3,55
2412,-100,48,71,388,11,6,56
2412,-100,79,74,384,5,7,60
2412,-100,50,70,388,10,6,55
2412,-100,64,71,388,8,5,56
2412,-100,72,74,384,6,6,54
2412,-100,55,71,387,10,3,55
2412,-100,86,74,384,6,5,59
2412,-100,69,74,384,6,5,58
2412,-100,65,71,388,11,8,58
2412,-100,76,74,385,7,6,59
2412,-100,45,71,387,11,6,56
2412,-100,85,74,384,8,7,59
2412,-100,53,71,388,10,5,56
2412,-100,58,75,383,7,2,55
2412,-100,48,71,387,11,6,55
2412,-100,87,76,382,8,5,61
2412,-100,88,75,384,8,6,60
2412,-100,42,70,389,9,4,54
2412,-100,45,70,388,9,5,55
